Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.15    3795/3795        reor_ [23]
                0.00    0.00    6418/38296       wallc_ [44]
                0.00    0.00    6418/38296       fixtim_ [81]
-----------------------------------------------
                0.02    0.12 1904169/13541874     mintm_ [26]
                0.13    0.72 11637705/13541874     ud2_ [12]
[13]    18.1    0.15    0.84 13541874         isco_ [13]
                0.84    0.00 13541874/13541874     isco1_ [14]
-----------------------------------------------
                0.84    0.00 13541874/13541874     isco_ [13]
[14]    15.3    0.84    0.00 13541874         isco1_ [14]
-----------------------------------------------
                0.48    0.00     151/151         artmn_ [3]
[15]     8.8    0.48    0.00     151         dens_ [15]
-----------------------------------------------
                0.01    0.43       1/1           hijing_ [5]
[16]     8.0    0.01    0.43       1         ptoh_ [16]
                0.05    0.38       1/1           coales_ [17]
                0.00    0.00    1223/732929      locldr_ [18]
                0.00    0.00    1223/2957321     lorenz_ [19]
                0.00    0.00    2725/34249       ulmass_ [82]
                0.00    0.00     890/123686      ranart_ [73]
                0.00    0.00     629/629         resmass_ [140]
                0.00    0.00       1/2           index1_ [248]
-----------------------------------------------
                0.05    0.38       1/1           ptoh_ [16]
[17]     7.8    0.05    0.38       1         coales_ [17]
                0.10    0.28  731706/732929      locldr_ [18]
                0.00    0.00    6538/6538        exchge_ [107]
-----------------------------------------------
                0.00    0.00    1223/732929      ptoh_ [16]
                0.10    0.28  731706/732929      coales_ [17]
[18]     6.9    0.10    0.28  732929         locldr_ [18]
                0.28    0.00 2932184/2957321     lorenz_ [19]
-----------------------------------------------
                0.00    0.00    1223/2957321     ptoh_ [16]
                0.00    0.00    2914/2957321     decomp_ [68]
                0.00    0.00   21000/2957321     newmom_ [64]
                0.28    0.00 2932184/2957321     locldr_ [18]
[19]     5.1    0.28    0.00 2957321         lorenz_ [19]
-----------------------------------------------
                0.25    0.00     150/150         artmn_ [3]
